	antecedents	consequents	antecedent support	consequent support	support	confidence	lift	leverage	conviction
280	frozenset({25, 801})	frozenset({362})	0.03935494652406417	0.01328542780748663	0.01328542780748663	0.3375796178343949	25.409766454352443	0.01276258050657368	1.4895594984060057
121	frozenset({228})	frozenset({1002})	0.12842580213903743	0.021557486631016042	0.016794786096256686	0.1307742355237476	6.066302522279888	0.014026248583566875	1.1256483106647668
1027	frozenset({627})	frozenset({859, 1047})	0.008856951871657755	0.011363636363636364	0.008856951871657755	1.0	88.0	0.008756304691298008	inf
412	frozenset({378, 1003})	frozenset({601})	0.012115641711229946	0.014455213903743316	0.012115641711229946	1.0	69.17919075144509	0.011940507518713003	inf
68	frozenset({705})	frozenset({479})	0.01821524064171123	0.018967245989304812	0.01821524064171123	1.0	52.72246696035243	0.01786974769170551	inf
1036	frozenset({379})	frozenset({1047})	0.008856951871657755	0.011363636363636364	0.008856951871657755	1.0	88.0	0.008756304691298008	inf
1350	frozenset({45, 207})	frozenset({411})	0.008188502673796791	0.008188502673796791	0.008188502673796791	1.0	122.12244897959184	0.008121451097758014	inf
735	frozenset({576})	frozenset({337, 842})	0.009274732620320856	0.009274732620320856	0.009274732620320856	1.0	107.81981981981981	0.009188711955142412	inf
181	frozenset({801, 228})	frozenset({930})	0.06074532085561497	0.016042780748663103	0.016042780748663103	0.26409903713892713	16.462173314993123	0.015068256884669281	1.337078314758359
399	frozenset({18, 228})	frozenset({843})	0.035010026737967916	0.012366310160427808	0.012366310160427808	0.3532219570405728	28.56324582338902	0.011933365311061227	1.5270055942538037
1391	frozenset({207})	frozenset({411})	0.011614304812834224	0.008188502673796791	0.008188502673796791	0.7050359712230216	86.10071942446044	0.008093398907782608	3.36248288117908
244	frozenset({465})	frozenset({266})	0.014288101604278075	0.018549465240641713	0.014288101604278075	1.0	53.909909909909906	0.014023064960214762	inf
139	frozenset({471})	frozenset({944, 18})	0.02289438502673797	0.05706885026737968	0.016293449197860962	0.7116788321167883	12.470530399375875	0.014986892966806314	3.2704194307182015
1269	frozenset({1028})	frozenset({595})	0.05080213903743316	0.022727272727272728	0.008355614973262033	0.16447368421052633	7.236842105263158	0.007201020904229461	1.1696492483894059
66	frozenset({209})	frozenset({705})	0.027406417112299464	0.01821524064171123	0.01821524064171123	0.6646341463414634	36.487804878048784	0.017716026158883583	2.9275036460865342
1275	frozenset({607})	frozenset({2, 183})	0.008355614973262033	0.009191176470588236	0.008355614973262033	1.0	108.8	0.008278817041522491	inf
1292	frozenset({595, 1028})	frozenset({252})	0.008355614973262033	0.016711229946524065	0.008355614973262033	1.0	59.839999999999996	0.008215982370099231	inf
464	frozenset({241})	frozenset({846})	0.02030414438502674	0.028910427807486632	0.011196524064171123	0.5514403292181069	19.074097861509546	0.010609522563735022	2.164906110484227
8	frozenset({228, 431})	frozenset({32})	0.08188502673796791	0.05731951871657754	0.05731951871657754	0.7000000000000001	12.212244897959184	0.052625908393863136	3.1422682709447423
122	frozenset({1028})	frozenset({252})	0.05080213903743316	0.016711229946524065	0.016711229946524065	0.32894736842105265	19.68421052631579	0.015862263719294233	1.4652930690992976
46	frozenset({1002})	frozenset({599})	0.021557486631016042	0.10736965240641712	0.021557486631016042	1.0	9.3136186770428	0.019242866784687868	inf
515	frozenset({899})	frozenset({425})	0.02815842245989305	0.0209725935828877	0.011196524064171123	0.3976261127596439	18.959319990069393	0.010605968913984529	1.6252819505545164
460	frozenset({770})	frozenset({358})	0.016711229946524065	0.013201871657754011	0.011363636363636364	0.6799999999999999	51.507848101265814	0.011143016850639138	3.083744151069518
775	frozenset({76})	frozenset({576, 337})	0.009274732620320856	0.009274732620320856	0.009274732620320856	1.0	107.81981981981981	0.009188711955142412	inf
731	frozenset({76})	frozenset({576, 842})	0.009274732620320856	0.009274732620320856	0.009274732620320856	1.0	107.81981981981981	0.009188711955142412	inf
605	frozenset({677})	frozenset({912})	0.01871657754010695	0.01763034759358289	0.009525401069518716	0.5089285714285715	28.866621530128644	0.009195421301724384	2.0004618376276135
352	frozenset({905, 228})	frozenset({431})	0.012867647058823529	0.09617312834224599	0.012867647058823529	1.0	10.397914856646395	0.01163012518677257	inf
1267	frozenset({607})	frozenset({2})	0.008355614973262033	0.03216911764705882	0.008355614973262033	1.0	31.08571428571429	0.00808682221217364	inf
1401	frozenset({45})	frozenset({411})	0.011781417112299465	0.008188502673796791	0.008188502673796791	0.6950354609929078	84.87943262411348	0.008092030508271612	3.252219095883597
961	frozenset({78})	frozenset({379})	0.008856951871657755	0.008856951871657755	0.008856951871657755	1.0	112.90566037735849	0.008778506275200893	inf
808	frozenset({2})	frozenset({183})	0.03216911764705882	0.019217914438502674	0.009191176470588236	0.28571428571428575	14.867080745341617	0.008572953120084933	1.3730949197860964
19	frozenset({1003})	frozenset({9})	0.02540106951871658	0.07494986631016043	0.02540106951871658	1.0	13.342251950947603	0.02349726275415368	inf
1516	frozenset({32, 905})	frozenset({680})	0.012867647058823529	0.008021390374331552	0.008021390374331552	0.6233766233766235	77.71428571428572	0.007918173954073609	2.6338742393509134
843	frozenset({539})	frozenset({44, 214})	0.02331216577540107	0.009107620320855615	0.009107620320855615	0.3906810035842294	42.89605734767025	0.008895301966116417	1.6262292584145959
1181	frozenset({801, 956})	frozenset({34})	0.011029411764705883	0.037015374331550804	0.008522727272727272	0.7727272727272726	20.875846501128663	0.008114469467599873	4.237132352941174
963	frozenset({78})	frozenset({627})	0.008856951871657755	0.008856951871657755	0.008856951871657755	1.0	112.90566037735849	0.008778506275200893	inf
